	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0032	bim	W	32	7/23/17	FJ	Colby Heights Steps	Kennebec	44.5616	-69.664							2017-31-07	8/3/17	33.0		33.0		2017_1	32.0	2017	0.0	Colby_College	Colby_College	0.0	83	3.087432195549600	-0.08019409272515500	-0.05115149649882100	Colby Heights Steps7/23/17	0.676173567760533	5.7270488517267E-05	0.1997212836225490	0.0026917129603115500	0.0	0.030926063799324200	0.07830784796594310	0.19958765248267600	0.6749327071759920	0.0	0.9864459843842470	0.8759521218715990	7/23/23	July	Colby_College2017	5
B0033	bor	W	33	6/17/17	FJ	Jackson	Waldo	44.5507	-69.1209							2017-31-07	8/3/17	105.0		105.0		2017_1	33.0	2017	0.0	Brooks_ME	Brooks_ME	0.0	47	2.615697494822480	-0.031087997307579700	0.11002289744413300	Jackson6/17/17	0.3263010424821790	0.0	0.6369442498660840	0.002389880093947010	0.007128435452635050	0.014215666076064100	0.006098314722485480	0.6367382257200540	0.32543574106885300	0.0006592772672957270	0.992665540401335	0.9632452923482630	6/17/23	June	Brooks_ME2017	6
B0034	bor	W	34	6/17/17	FJ	Brooks	Waldo	44.5507	-69.1209							2017-31-07	8/3/17	105.0		105.0		2017_1	34.0	2017	0.0	Brooks_ME	Brooks_ME	0.0	47	2.209806008033400	-0.06663699909293710	0.004787134441903000	Brooks6/17/17	0.6200276364919300	0.0	0.3311674947814070	0.0009702172698674040	0.0	0.0003822068032810980	0.020227560050568900	0.3311674947814070	0.6191750213153790	0.00017640313997589200	0.9720989033604800	0.9511951312733370	6/17/23	June	Brooks_ME2017	7
B0035	bor	W	35	6/17/17	FJ	Waldo	Waldo	44.6135	-69.1243							2017-31-07	8/3/17	32.0		32.0		2017_1	35.0	2017	0.0	Waldo	Brooks_ME	0.0	47	1.865216921814500	0.022135886699295600	0.209451509094441	Waldo6/17/17	0.0012192498027684100	0.00025102201821702600	0.9954457433837770	0.0	0.0	0.0007172057663343610	0.0	0.9935810083913080	0.0008606469196012340	0.0	0.995158861077243	0.9969160152047620	6/17/23	June	Waldo2017	8
B0036	bor	Q	36	7/3/17	FJ	344 N Palermo Rd; Palermo; ME	Waldo	44.4252	-69.4381							2017-31-07	8/3/17	213.0		213.0		2017_1	36.0	2017	0.0	Palermo_ME	Palermo_ME	0.0	63	2.353729617515760	-0.05274525641832120	0.023194002714977100	344 N Palermo Rd; Palermo; ME7/3/17	0.5632183908045980	0.0	0.37383473617521900	0.008552810209068690	0.0008145533532446380	0.026880260657073000	0.0024436600597339100	0.37383473617521900	0.562675355235768	0.0003167707484840260	0.9755181464385920	0.9370531269798170	7/3/23	July	Palermo_ME2017	9
B0037	bor	Q	37	7/3/17	FJ	Belgrade_Lakes	Kennebec	44.5108	-69.905							2017-31-07	8/3/17	258.0		258.0		2017_1	37.0	2017	0.7453318845759710	Belgrade_Lakes	Belgrade_Lakes	0.0	63	2.627525101518200	-0.07302754539507780	-0.06386209487066460	Belgrade_Lakes7/3/17	0.7096022727272730	0.0	0.15198863636363600	0.003465909090909090	0.00022727272727272700	0.07386363636363640	0.04318181818181820	0.151875	0.7078409090909090	0.0011931818181818200	0.9816477272727270	0.8615909090909090	7/3/23	July	Belgrade_Lakes2017	10
B0038	vag	W	38	7/3/17	FJ	344 N Palermo Rd; Palermo; ME	Waldo	44.4252	-69.4381							2017-31-07	8/3/17	55.0		55.0		2017_1	38.0	2017	2.6881829915647900	Palermo_ME	Palermo_ME	0.0	63	1.439544404385040	-0.06552152478621680	0.05779977394479790	344 N Palermo Rd; Palermo; ME7/3/17	0.4944816264679880	0.0	0.4952898093193590	0.0	0.010051774213915900	0.0	0.0	0.49506250789241100	0.1734057330471020	0.32092435913625500	0.999444374289683	0.9897714357873470	7/3/23	July	Palermo_ME2017	9
B0039	bim	W	39	7/3/17	FJ	271 Parmenter Hill Rd; Palermo; ME	Waldo	44.43	-69.4753							2017-31-07	8/3/17	69.0		69.0		2017_1	39.0	2017	3.35595373899357	Palermo_ME	Palermo_ME	0.0	63	1.634564181948130	-0.06475632218647360	0.04666914475051580	271 Parmenter Hill Rd; Palermo; ME7/3/17	0.5473980602774010	0.0	0.44877811381096400	0.0	0.0022942955469809200	0.0	0.0	0.44877811381096400	0.5466680571488160	0.0004866687523898910	0.9982271352591510	0.9961761740883650	7/3/23	July	Palermo_ME2017	11
B0040	imp	W	40	7/3/17	FJ	Albion Center	Kennebec	44.532	-69.4414							1/8/17	8/3/17	58.0		58.0		2017_1	40.0	2017	3.112793760691580	Albion_ME	Albion_ME	0.0	63	2.472545181728310	-0.08819772708018700	-0.13754669431107900	Albion Center7/3/17	0.49695918501767400	4.39106856653567E-05	0.07651436977188400	0.0105385645596856	0.0016246953696182000	0.0076185039629393800	0.3967989110149960	0.07633872702922260	0.35337124289195800	0.14343425472588800	0.9897248995543060	0.5735174654752230	7/3/23	July	Albion_ME2017	12
B0041	tern	W	41	7/3/17	FJ	344 N Palermo Rd; Palermo; ME	Waldo	44.4252	-69.4381							1/8/17	8/3/17	13.0		25.8	1.99	2017_1	41.0	2017	0.0	Palermo_ME	Palermo_ME	0.0	63	2.049491254774160	-0.03664641998019690	0.11015951411775900	344 N Palermo Rd; Palermo; ME7/3/17	0.34051724137931000	0.0	0.6508004926108370	0.0	0.004536124794745490	0.0	0.003961412151067320	0.6506568144499180	0.3050287356321840	0.031732348111658500	0.9959154351395730	0.9913177339901480	7/3/23	July	Palermo_ME2017	9
